Historia,Titulo Historia,Data-Lake,Chave,Titulo,Status,Data Criacao,Data Atualizacao,Quantidade Subtarefas,Categoria_Analise,Data Inicio Esperada,Data Fim Esperada
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1336,EL copy/parse carga_fria_subsegmento_abc,Done,2025-07-15T17:09:08.331-0300,2025-08-11T19:02:43.444-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1335,EL copy/parse carga_fria_subsegmento_2p,Done,2025-07-15T17:08:38.119-0300,2025-08-11T19:02:45.494-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1325,EL copy/parse carga_fria_status_cliente,Done,2025-07-15T17:07:08.890-0300,2025-08-11T19:02:38.776-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1317,EL copy/parse carga_fria_regional_venda_direta,Done,2025-07-15T17:06:32.194-0300,2025-08-11T19:02:36.302-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1312,EL copy/parse carga_fria_regional_abreviada,Done,2025-07-15T17:04:59.168-0300,2025-08-11T19:02:29.614-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1310,EL copy/parse carga_fria_indicador,Done,2025-07-15T17:04:41.232-0300,2025-08-11T19:02:20.600-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1309,EL copy/parse carga_fria_ind_retorno_veiculo,Done,2025-07-15T17:04:21.783-0300,2025-08-11T19:02:08.974-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1307,EL copy/parse carga_fria_ibge_renda_reg_uf,Done,2025-07-15T17:03:39.393-0300,2025-08-11T19:02:06.231-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1306,EL copy/parse carga_fria_ibge_renda_municipios,Done,2025-07-15T17:03:14.414-0300,2025-08-11T19:02:02.950-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1305,EL copy/parse carga_fria_ibge_pib_municipios,Done,2025-07-15T17:02:52.115-0300,2025-08-11T19:01:59.988-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1304,EL copy/parse carga_fria_ibge_pess_resid_municipios_ano,Done,2025-07-15T17:02:22.652-0300,2025-08-11T19:01:57.172-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1303,EL copy/parse carga_fria_grupo_origem_montadora,Done,2025-07-15T17:01:49.895-0300,2025-08-11T19:01:49.480-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1301,EL copy/parse carga_fria_grupo_estrategico_montadoras,Done,2025-07-15T17:01:09.709-0300,2025-08-11T19:01:40.286-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1298,EL copy/parse carga_fria_de_para_pais,Done,2025-07-15T17:00:36.206-0300,2025-08-11T19:01:24.112-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1297,EL copy/parse carga_fria_combustivel,Done,2025-07-15T17:00:13.806-0300,2025-08-11T19:01:21.391-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5902,[StoryBug] el_rsa_afs--carga_tb_nota_fiscal_veiculo,In Progress,2026-03-14T07:33:51.950-0300,2026-03-19T09:22:44.164-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5872,[Storybug] [5] data-lake-brain-carga_tb_nota_fiscal_veiculo -  Ausência de valores na coluna VLR_CUSTO_VEICULO,Canceled,2026-03-09T09:46:04.035-0300,2026-03-09T10:25:18.253-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5846,[StoryBug] - [5] data-lake-brain-carga_tb_nota_fiscal_veiculo - Qualidade dos dados - Colunas com dados divergentes,Done,2026-03-03T15:06:07.014-0300,2026-03-06T09:24:48.808-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5831,[StoryBug] - TB_CLIENTE_NOTA_FISCAL volumetria com diferença significativa,Done,2026-02-26T11:33:23.786-0300,2026-03-05T08:25:15.127-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5739,[StoryBug] [2] data-lake-brain-carga-nfe-pecas - TB_DGR_NFE_PECA_ITEM,Done,2026-02-10T18:54:32.566-0300,2026-02-13T08:27:12.152-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5738,[StoryBug] [2] data-lake-brain-carga-nfe-pecas - Diferença significativa na volumentria TB_DGR_DANFE ,Done,2026-02-10T18:44:37.986-0300,2026-02-24T08:39:52.230-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5737,[Story Bug] [5] data-lake-brain-carga_tb_nota_fiscal_veiculo - Ausência de dados PSA,Done,2026-02-10T17:27:37.087-0300,2026-02-23T08:39:37.400-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5735,[Story Bug] [4] data-lake-brain-carga_NotaFiscal_Nfe / Dados nulos e inconsistências,Done,2026-02-10T15:45:08.758-0300,2026-02-12T13:26:05.294-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5732,[StoryBug] Ingestão incorreta dos dados na TB_STG_ORDEM_SERVICO_NOTA_FISCAL_ITEM_PECA,Done,2026-02-09T19:00:19.516-0300,2026-02-13T08:28:01.100-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5709,[Stotry bug] [5]data-lake-brain-carga_tb_nota_fiscal_veiculo,Canceled,2026-02-06T10:36:25.030-0300,2026-02-06T11:34:18.636-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5699,[StoryBug] Erro DAG dbt_rsa_afs--data_lake_brain_carga_nfe_servicos_snowflake,Canceled,2026-02-04T17:21:08.768-0300,2026-02-06T11:36:05.279-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5693,[RN/FMK] Inconsistência tabela TB_NOTA_FISCAL_SERVICO_ITEM,Done,2026-02-02T09:01:30.625-0300,2026-02-06T11:37:22.725-0300,0,RN,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5689,[StoryBug] Inconsistencia View VW_NOTA_FISCAL_SERVICO,Done,2026-01-30T08:24:25.036-0300,2026-02-05T16:34:30.105-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5687,[RN-FMK] Inconsistencias tabela TB_NOTA_FISCAL_SERVICO,Done,2026-01-29T16:34:14.738-0300,2026-02-06T11:38:37.235-0300,0,RN-FMK,2025-10-06,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-5674,Homologação - 12/12 - [2]data-lake-brain-carga-os-ficha-acompanhamento,Done,2026-01-27T16:51:46.431-0300,2026-02-20T09:29:41.514-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-5634,9 [Preparo PRD] Validação do Processo em PRD. (Responsável: Stellantis-Quem homologou / Apoio: DEV que desenvolveu / Quem desenvolveu).Adicionar evidência na história que o processo Rodou.,In Progress,2026-01-20T10:00:28.698-0300,2026-02-20T09:24:51.582-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5632,9 [Preparo PRD] Validação do Processo em PRD. (Responsável: Stellantis-Quem homologou / Apoio: DEV que desenvolveu / Quem desenvolveu).Adicionar evidência na história que o processo Rodou.,OPEN,2026-01-20T10:00:07.826-0300,2026-01-20T10:00:08.046-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5623,[StoryBug] Inconsistencias tabelas DGR NFe Servicos,Done,2026-01-16T15:27:14.560-0300,2026-01-29T07:58:27.789-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5620,[StoryBug] Erro na execução da DAG dbt_rsa_afs--data_lake_brain_dgr_nfe_servicos_snowflake,Done,2026-01-15T16:39:30.977-0300,2026-01-28T09:09:30.367-0300,0,Story Bug,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5385,Homologação - 19/12/25 -[5] data-lake-brain-carga_tb_nota_fiscal_veiculo,Done,2025-12-19T16:48:40.295-0300,2026-03-12T10:35:14.813-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5384,Homologação - 19/12/25 -[4] data-lake-brain-carga_NotaFiscal_Nfe,Done,2025-12-19T16:48:30.242-0300,2026-02-12T15:30:24.630-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5383,Homologação - 19/12/25 - [2] data-lake-brain-carga-nfe-pecas,Done,2025-12-19T16:48:24.176-0300,2026-03-10T08:21:08.292-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-5004,eks,Done,2025-12-16T09:22:23.364-0300,2025-12-16T13:30:23.535-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4345,8 [Preparo Ambiente]Analisar no Power BI as tabelas a serem comparadas (BIG QUERY X SNOWFLAKE) (Responsavel: ONGOING);,Done,2025-12-03T16:35:22.143-0300,2026-02-20T09:19:39.146-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4344,7 [Preparo Ambiente]Cópiar tabelas (Responsavel: STELLANTIS/Apoio: DEV),Done,2025-12-03T16:35:20.656-0300,2026-02-20T09:19:38.054-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4343,6 [Preparo Ambiente]Executar processo em PROD (Responsavel: DEVOPS/ Apoio: DEV),Done,2025-12-03T16:35:19.124-0300,2026-03-13T09:25:54.275-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4342,"5 [Preparo Ambiente]Listar Processos Fora do Framework (Lambda, Glue, Kafka, Snowflake, Airflow) (Responsavel: DEV/Apoio: DEVOPS)",Done,2025-12-03T16:35:17.571-0300,2026-03-13T09:26:03.445-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
